cdm_name,omop_table,in_observation,variable_name,variable_level,time_interval,count,percentage,median,interval,name_observation_period,study_period_end,study_period_start,type
Barts Health,death,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,8946,6.32,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,overall,Number of records,NA,2015-01-01 to 2015-12-31,1523,0.03,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,1523,0.03,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,overall,Number of records,NA,2015-01-01 to 2015-12-31,1284,0.03,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,1283,0.03,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,overall,Number of records,NA,2015-01-01 to 2015-12-31,780760,5.13,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,578,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,780182,5.12,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,overall,Number of records,NA,2016-01-01 to 2016-12-31,2556005,6.53,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,4890,0.01,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,2551115,6.51,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2016-01-01 to 2016-12-31,1613317,5.46,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,815,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,1612502,5.46,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,overall,Number of records,NA,2016-01-01 to 2016-12-31,13,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,13,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2016-01-01 to 2016-12-31,616053,6.55,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,9323,0.1,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,606730,6.45,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,overall,Number of records,NA,2016-01-01 to 2016-12-31,22906,1.24,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,22906,1.24,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,overall,Number of records,NA,2016-01-01 to 2016-12-31,31586916,3.8,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,23553,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,31563363,3.8,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,overall,Number of records,NA,2016-01-01 to 2016-12-31,1430298,2.32,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,142802,0.23,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,1287496,2.09,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,overall,Number of records,NA,2016-01-01 to 2016-12-31,8210,5.8,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,135,0.1,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,8075,5.71,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,overall,Number of records,NA,2016-01-01 to 2016-12-31,9,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,9,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,overall,Number of records,NA,2016-01-01 to 2016-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,overall,Number of records,NA,2016-01-01 to 2016-12-31,906993,5.96,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,FALSE,Number of records,NA,2016-01-01 to 2016-12-31,415,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,TRUE,Number of records,NA,2016-01-01 to 2016-12-31,906578,5.95,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,overall,Number of records,NA,2017-01-01 to 2017-12-31,2668524,6.81,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,6574,0.02,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,2661950,6.8,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2017-01-01 to 2017-12-31,2037891,6.9,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,1204,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,2036687,6.89,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,overall,Number of records,NA,2017-01-01 to 2017-12-31,14,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,14,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2017-01-01 to 2017-12-31,613482,6.52,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,7133,0.08,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,606349,6.44,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,overall,Number of records,NA,2017-01-01 to 2017-12-31,165166,8.92,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,165165,8.92,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,overall,Number of records,NA,2017-01-01 to 2017-12-31,34718071,4.18,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,34710,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,34683361,4.17,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,overall,Number of records,NA,2017-01-01 to 2017-12-31,1765867,2.86,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,132673,0.22,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,1633194,2.65,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,overall,Number of records,NA,2017-01-01 to 2017-12-31,8871,6.27,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,127,0.09,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,8744,6.18,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,overall,Number of records,NA,2017-01-01 to 2017-12-31,12,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,12,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,overall,Number of records,NA,2017-01-01 to 2017-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,dose_era,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,overall,Number of records,NA,2017-01-01 to 2017-12-31,1113168,7.31,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,FALSE,Number of records,NA,2017-01-01 to 2017-12-31,564,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,TRUE,Number of records,NA,2017-01-01 to 2017-12-31,1112604,7.31,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,overall,Number of records,NA,2018-01-01 to 2018-12-31,3030548,7.74,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2018-01-01 to 2018-12-31,6647,0.02,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,TRUE,Number of records,NA,2018-01-01 to 2018-12-31,3023901,7.72,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2018-01-01 to 2018-12-31,2529937,8.56,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2018-01-01 to 2018-12-31,860,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2018-01-01 to 2018-12-31,2529077,8.56,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,overall,Number of records,NA,2018-01-01 to 2018-12-31,21,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,TRUE,Number of records,NA,2018-01-01 to 2018-12-31,21,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2018-01-01 to 2018-12-31,668654,7.11,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2018-01-01 to 2018-12-31,7562,0.08,NA,years,NA,2026-02-16,2012-01-01,event
